GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SchoolTimetable,org.presentation.swing,SessionSettings.new ActionListener() {...},39,0,0,0,9,0,2,0,2,0
SchoolTimetable,org.domain.exceptions.room,RoomAdditionException,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.room,RoomDeletionFailed,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.room,RoomNotFoundException,5,4,0,0,2,2,1,1,1,1
SchoolTimetable,org,Main,17,17,0,0,6,1,2,1,2,1
SchoolTimetable,org,Main.new AbstractModule() {...},7,102,1,1,1,18,1,2,0,2
SchoolTimetable,org,GuiceInjectorSingleton,0,16,0,0,0,5,0,3,0,3
SchoolTimetable,org,Application,1,24,0,0,1,9,1,1,1,1
SchoolTimetable,org,Main.MessageModule,2,4,0,0,1,2,1,2,1,2
SchoolTimetable,org.dataaccess.room,RoomRepository,9,58,0,2,3,18,0,4,0,3
SchoolTimetable,org.application.disciplines,DisciplinesService,44,193,3,7,16,44,3,13,0,11
SchoolTimetable,org.domain.exceptions.student,StudentUpdateException,0,9,0,0,0,4,0,2,0,2
SchoolTimetable,org.domain.exceptions.student,StudentAdditionException,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.student,StudentNotFoundException,5,4,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.student,StudentDeletionFailed,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.application.rooms,RoomsService,34,122,2,4,13,29,2,9,0,8
SchoolTimetable,org.presentation,GUI,465,0,16,0,82,0,13,0,5,0
SchoolTimetable,org.presentation,MainGenerator,0,238,2,6,0,45,2,7,0,5
SchoolTimetable,org.presentation,GUI.new MouseAdapter() {...},22,0,0,0,5,0,3,0,3,0
SchoolTimetable,org.presentation,GUI.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
SchoolTimetable,org.presentation,TemplateUtils,18,63,0,0,6,20,0,5,0,5
SchoolTimetable,org.domain.models.validators.studentgroup,StudentGroupValidator,88,43,20,4,20,11,12,3,0,3
SchoolTimetable,org.domain.models.validators.timeslot,TimeslotValidator,26,190,18,28,13,42,18,9,0,4
SchoolTimetable,org.domain.exceptions.discipline,DisciplineAdditionException,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.discipline,DisciplineNotFoundException,5,4,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.discipline,DisciplineDeletionFailed,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.models.validators.teacher,TeacherValidator,121,67,30,6,28,16,18,3,0,3
SchoolTimetable,org.application.teachers,TeachersService,34,120,2,4,13,29,2,9,0,8
SchoolTimetable,org.dataaccess.session,SessionRepository,9,25,0,0,3,9,0,2,0,2
SchoolTimetable,org.application.sessions,SessionsService,189,352,18,12,50,72,16,20,1,20
SchoolTimetable,org.presentation.generators,TeachersGenerator,7,106,3,3,1,22,2,3,0,2
SchoolTimetable,org.presentation.generators,FreeRoomsGenerator,0,197,0,12,0,43,0,9,0,3
SchoolTimetable,org.presentation.generators,HomeGenerator,0,36,0,0,0,9,0,2,0,2
SchoolTimetable,org.presentation.generators,RoomsGenerator,8,121,3,3,2,26,2,3,0,2
SchoolTimetable,org.presentation.generators,StudentsGenerator,0,272,0,10,0,55,0,7,0,2
SchoolTimetable,org.presentation.generators,TimetablesGenerator,11,611,5,25,4,120,4,21,0,10
SchoolTimetable,org.presentation.generators,DisciplinesGenerator,0,225,4,16,0,37,4,8,0,2
SchoolTimetable,org.presentation.generators,BaseGenerator,0,56,0,2,0,14,0,3,0,2
SchoolTimetable,org.dataaccess.repository,BaseRepository,48,185,4,12,15,50,4,11,0,7
